Job Title,old description,cleaned_description,Job Description
 Digital Media Planner,"media planning,digital media",medium planning digital medium,"['social medium management', 'medium relation', 'social medium influencer marketing', 'social medium manager', 'social medium analytic']"
 Online Bidding Executive,"pre sales,closing,software knowledge,clients,requirements,negotiating,client,online bidding,good communication,technology",pre sale closing software knowledge client requirement negotiate client online bidding good communication technology,"['market client', 'requirement engineer', 'zero knowledge proof', 'business domain knowledge']"
 Trainee Research/ Research Executive- Hi- Tech Operations,"computer science,fabrication,quality check,intellectual property,electronics,support services,research,management,human resource management,research executive",computer science fabrication quality check intellectual property electronic support service research management human resource management research executive,"['human resource management', 'human resource manager', 'human resource coordinator', 'market research', 'research assistant']"
 Technical Support,technical support,technical support,"['support', 'technical support engineer', 'technical support specialist', 'customer support', 'training support']"
 Software Test Engineer -hyderabad,"manual testing,test engineering,test cases,web testing,web technologies",manual testing test engineering test case web testing web technology,"['manual testing', 'hypothesis testing', 'b testing', 'unit testing test automation', 'web scrape']"
 Opening For Adobe Analytics Specialist,"adobe experience manager,digital,digital marketing,adobe analytics,data analytics,aem,adobe,sitecatalyst",adobe experience manager digital digital marketing adobe analytic datum analytic aem adobe sitecatalyst,"['adobe xd', 'adobe target', 'adobe effect', 'digital marketing', 'datum analytic']"
 Sales- Fresher-for Leading Property Consultant,"channel partners,real estate,negotiation,property,residential sales",channel partner real estate negotiation property residential sale,"['negotiation', 'real time system']"
 Opportunity For Azure Devops Architect For Hyderabad Location,"tfs,azure,git,vsts,docker,dynatrace,splunk,aws",tfs azure git vst docker dynatrace splunk aw,"['containerization docker', 'docker', 'docker', 'aw', 'azure']"
 BDE- PUNE,bde,bde,[]
 Technical Support/ Product Support,"technical support,support services,application support,communication skills,voice based process,semi voice,semi voice process",technical support support service application support communication skill voice base process semi voice semi voice process,"['semi supervised learning', 'support', 'customer support', 'process', 'technical support engineer']"
 Executive Assistant To Chairman,"secretary,executive assistant,ea",secretary executive assistant ea,"['executive assistant', 'chiropractic assistant', 'photographer assistant', 'research assistant', 'nursing assistant']"
 SEO Executive,"website,web analytics,xml,link building,google analytics,case studies,seo,social media,tracking,maintaining",website web analytic xml link building google analytic case study seo social medium tracking maintain,"['social medium analytic', 'google analytic', 'web analytic', 'prescriptive analytic', 'big datum social medium analytic']"
