Unnamed: 0,Job Title,old description,cleaned_description,Job Description
0,Flutter Developer,"We are looking for hire experts flutter developer. So you are eligible this post then apply your resume.
Job Types: Full-time, Part-time
Salary: ₹20,000.00 - ₹40,000.00 per month
Benefits:
Flexible schedule
Food allowance
Schedule:
Day shift
Supplemental Pay:
Joining bonus
Overtime pay
Experience:
total work: 1 year (Preferred)
Housing rent subsidy:
Yes
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19",look hire expert flutter developer eligible post apply resume job types time time salary month benefit flexible schedule food allowance schedule day shift supplemental pay join bonus overtime pay experience total work year preferred housing rent subsidy yes industry software development work remotely temporarily,[]
1,Django Developer,"PYTHON/DJANGO (Developer/Lead) - Job Code(PDJ - 04)
Strong Python experience in API development (REST/RPC).
Experience working with API Frameworks (Django/flask).
Experience evaluating and improving the efficiency of programs in a Linux environment.
Ability to effectively handle multiple tasks with a high level of accuracy and attention to detail.
Good verbal and written communication skills.
Working knowledge of SQL.
JSON experience preferred.
Good knowledge in automated unit testing using PyUnit.",python django developer lead job strong python experience api development rest rpc experience work api frameworks django flask experience evaluate improve efficiency program linux environment ability effectively handle multiple task high level accuracy attention detail good verbal write communication skill work knowledge sql json experience prefer good knowledge automate unit testing pyunit,"['django', 'django', 'attention detail', 'python', 'flask']"
2,Machine Learning,"Data Scientist (Contractor)

Bangalore, IN

Responsibilities

We are looking for a capable data scientist to join the Analytics team, reporting locally in India Bangalore. This person’s responsibilities include research, design and development of Machine Learning and Deep Learning algorithms to tackle a variety of Fraud oriented challenges. The data scientist will work closely with software engineers and program managers to deliver end-to-end products, including: data collection in big scale and analysis, exploring different algorithmic approaches, model development, assessment and validation – all the way through production.

Qualifications

At least 3 years of hands-on development of complex Machine Learning models using modern frameworks and tools, ideally Python based.
Solid understanding of statistics and applied mathematics
Creative thinker with a proven ability to tackle open problems and apply non-trivial solutions.
Experience in software development using Python, Java or a similar language.
Any Graduate or M.Sc. in Computer Science, Mathematics or equivalent, preferably in Machine Learning
Ability to write clean and concise code
Quick learner, independent, methodical, and detail oriented.
Team player, positive attitude, collaborative, good communication skills.
Dedicated, makes things happen.
Flexible, capable of making decisions in an ambiguous and changing environment.

Advantages:

Prior experience as a software developer or data engineer – advantage
Experience with Big data – advantage
Experience with Spark – big advantage
Experience with Deep Learning frameworks (PyTorch, TensorFlow, Keras) – advantage.
Experience in the Telecommunication domain and/or Fraud prevention - advantage",data scientist contractor bangalore responsibility look capable datum scientist join analytics team report locally india bangalore person responsibility include research design development machine learning deep learning algorithm tackle variety fraud orient challenge data scientist work closely software engineer program manager deliver end end product include datum collection big scale analysis explore different algorithmic approach model development assessment validation way production qualification year hand development complex machine learning model modern framework tool ideally python base solid understanding statistic apply mathematic creative thinker prove ability tackle open problem apply non trivial solution experience software development python java similar language graduate computer science mathematics equivalent preferably machine learning ability write clean concise code quick learner independent methodical detail orient team player positive attitude collaborative good communication skill dedicated make thing happen flexible capable make decision ambiguous change environment advantage prior experience software developer datum engineer advantage experience big datum advantage experience spark big advantage experience deep learning framework pytorch tensorflow keras advantage experience telecommunication domain fraud prevention advantage,"['deep learning big datum', 'machine learning', 'deep learning', 'datum scientist', 'machine learning library']"
3,iOS Developer,"JOB DESCRIPTION:

Strong framework outside of iOS is always a plus

iOS experience and generalist engineers with backgrounds in related technologies is a plus

A disciplined approach to development, documentation and file structure

Strong visual design sense and excellent taste

A constant desire to improve, learn more and take things higher

An excellent understanding of networking, mobile network issues, concurrency and threading

Experience working with internationalized apps

RESPONSIBILITIES
Design and build advanced applications for the iOS platform.
Collaborate with cross-functional teams to define, design, and ship new features..
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Have published one or more iOS apps in the app store.
A deep familiarity with Objective-C and Cocoa Touch.
Experience working with iOS frameworks such as Core Data, Core Animation, Core Graphics and Core Text.
Experience with third-party libraries and APIs.
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies.
Solid understanding of the full mobile development life cycle.
Responsible for working on different layers of the iOS apps.
Help architect and maintain our set of native mobile applications.",job description strong framework outside ios plus ios experience generalist engineer background relate technology plus discipline approach development documentation file structure strong visual design sense excellent taste constant desire improve learn thing high excellent understanding networking mobile network issue concurrency threading experience work internationalized app responsibility design build advanced application ios platform collaborate cross functional team define design ship new feature work bug fix improve application performance continuously discover evaluate implement new technology maximize development efficiency publish ios app app store deep familiarity objective c cocoa touch experience work ios framework core data core animation core graphics core text experience party library api work knowledge general mobile landscape architecture trend emerge technology solid understanding mobile development life cycle responsible work different layer ios app help architect maintain set native mobile application,"['cross platform mobile app development', 'mobile app developer', 'mobile app testing', 'mobile app development android', 'secure mobile app development']"
4,Full Stack Developer,job responsibility full stack engineer – react role make impact petsmart transforming engineering team meet need rapidly changing retail environment role foundational helping build craft petsmart ’ prowess making react j native key framework across mobile web property working across web mobile application part building amazing mobile first customer experience impact customer store digital channel goal responsibility include act full stack developer across petsmart ’ various web mobile solution full stack engineer help build petsmart ’ competency using react j native across mobile web property partner web engineering team strategy share component across application best practice new advancement react community work product ux team review design concept offer suggestion decrease complexity maintaining spirit experience proactively make recommendation technical enhancement better performance scalability maintainability accountable delivering agile environment creates/oversees completion technical development mobile web solution work cross functional business team design develop solution based business requirement identify area improvement design implementation process tooling automated testing quality assurance mentor le experienced developer remain current latest web technology seeking integrate solution appropriate ’ bring table 5+ year hands-on experience web development 2+ year recent experience working react strong experience various j library framework redux angular vue etc expert understanding javascript html cs restful apis http networking concept full stack web development architecture expertise experience mvc object-oriented programming concept experience implementing responsive design adaptive design demonstrated strong front-end development skill especially concerning accessibility extensibility client-side computing object-oriented design pattern object-oriented cs experience sass/less/postcss framework demonstrated passion user experience design usability familiar experienced making use open source component ability address short term tactical requirement without losing site longer range strategic direction self-motivated discipline meet deadline speed accuracy professional attitude excellent written oral communication skill excellent analytical trouble-shooting skill collaborative team player ability resolve conflict constructive manner work around obstacle ensure project success b computer science equivalent team ’ growing faster pace ever investing heavily cutting-edge technology importantly _our people._ petsmart team ’ department valued business partner every area company every level associate empowered come innovative idea strategic impact business ’ take pride work “ ” behind all—for love pet click meet mike goodwin petsmart ’ cio ’ love home office offer outstanding amenity fun rewarding workplace including pet friendly environment bring pet work ! work-life balance family event movie night art event holiday festival “ top dog ” gym equipment fitness class massage therapist personal trainer “ sit & stay ” café serving fresh breakfast lunch option starbucks cart—productivity finest ! “ lil ’ paw ” learning center onsite childcare facility volunteer event petsmart charity submit resume,job responsibility stack engineer react role impact petsmart transforming engineering team meet need rapidly change retail environment role foundational help build craft petsmart prowess making react j native key framework mobile web property work web mobile application build amazing mobile customer experience impact customer store digital channel goal responsibility include act stack developer petsmart web mobile solution stack engineer help build petsmart competency react j native mobile web property partner web engineering team strategy share component application good practice new advancement react community work product ux team review design concept offer suggestion decrease complexity maintain spirit experience proactively recommendation technical enhancement well performance scalability maintainability accountable deliver agile environment create oversee completion technical development mobile web solution work cross functional business team design develop solution base business requirement identify area improvement design implementation process tool automate testing quality assurance mentor le experienced developer remain current late web technology seek integrate solution appropriate bring table year hand experience web development year recent experience work react strong experience j library framework redux angular vue etc expert understanding javascript html cs restful apis http networking concept stack web development architecture expertise experience mvc object orient programming concept experience implement responsive design adaptive design demonstrate strong end development skill especially concern accessibility extensibility client computing object orient design pattern object orient cs experience sas postcss framework demonstrate passion user experience design usability familiar experienced make use open source component ability address short term tactical requirement lose site long range strategic direction self motivate discipline meet deadline speed accuracy professional attitude excellent write oral communication skill excellent analytical trouble shoot skill collaborative team player ability resolve conflict constructive manner work obstacle ensure project success b computer science equivalent team grow fast pace invest heavily cut edge technology importantly people petsmart team department value business partner area company level associate empower come innovative idea strategic impact business pride work love pet click meet mike goodwin petsmart cio love home office offer outstanding amenity fun rewarding workplace include pet friendly environment bring pet work work life balance family event movie night art event holiday festival dog gym equipment fitness class massage therapist personal trainer sit stay café serve fresh breakfast lunch option starbuck cart productivity fine lil paw learn center onsite childcare facility volunteer event petsmart charity submit resume,[]
5,Java Developer,"Software Developer - Integration*
Immediate Opening!*
A dynamic Akron / Cleveland area company is looking for an experienced software developer. The Integration Developer designs, develops, tests, maintains and enhances multiple systems serving internal users as well as our suppliers and customers. The Integration Developer interacts with IT and other internal business partners to deliver systems that advance company strategy and improve the enterprise capability of IT.
Candidates need to demonstrate experience in the following skillsets: *
· Proven technical expertise in the design, development, coding, testing, and debugging of enterprise software.

· Strong knowledge of web services (WSDL, Soap, Restful).

· Experience working with relational databases.

· Experience authoring and maintaining data access and / or database queries.

· Familiar with standard software design patterns, methodologies, and the MVC architecture.

· Proficient in the following technologies: C#, .NET, .NET Core, HTML5, CSS3, MsSQL, MySQL, ReactJS.

· Experience working with and/or administering Microsoft IIS

· Experience with SYSPRO’s ERP package a plus but not required
Candidates must be able to execute the following functions: *
· Creates and deploys code and configuration associated with support and project work across our application portfolio.

· Assists in creating, evolving and standardizing technical processes such as source code management, continuous integration, etc.

· Submits code and configuration with high levels of quality, performance, security, scalability and extensibility.

· Assists in the creation and evaluation of business requirements and project plans.
Other requirements include: *
· Takes pride in delivering work on time and with quality

· Good problem solving and decision making abilities

· Ability to learn quickly in a fast-paced environment

· Ability to both work independently and with teams

· Effectively juggles a continuous mix of support and project work

· Able to work off hours / provide on-call support when needed

The ideal candidate must be a self-starter, able to work independently, and have experience in the skillsets mentioned above. This position requires a highly responsible and organized individual with a good work ethic and a minimum of two years of experience using the tools and technologies noted above.

Compensation is commensurate with experience.
Industries* - Manufacturing-Other
Education* - Bachelor's Degree in Computer Science, Information Systems, or related field, or combination of education and equivalent work experience.
Job Type: Contract

Experience:
Software development: 2 years (Required)
Work Location:
One location
Work Remotely:
No",software developer integration immediate opening dynamic akron cleveland area company look experienced software developer integration developer design develop test maintain enhance multiple system serve internal user supplier customer integration developer interact internal business partner deliver system advance company strategy improve enterprise capability candidate need demonstrate experience follow skillset prove technical expertise design development code testing debugging enterprise software strong knowledge web service wsdl soap restful experience work relational database experience author maintain datum access database query familiar standard software design pattern methodology mvc architecture proficient follow technology c core mssql mysql reactjs experience work administer microsoft iis experience syspro erp package plus require candidate able execute follow function create deploy code configuration associate support project work application portfolio assist create evolve standardize technical process source code management continuous integration etc submit code configuration high level quality performance security scalability extensibility assist creation evaluation business requirement project plan requirement include take pride deliver work time quality good problem solve decision make ability ability learn quickly fast pace environment ability work independently team effectively juggle continuous mix support project work able work hour provide support need ideal candidate self starter able work independently experience skillset mention position require highly responsible organized individual good work ethic minimum year experience tool technology note compensation commensurate experience industries manufacturing education bachelor degree computer science information systems related field combination education equivalent work experience job type contract experience software development year required work location location work remotely,[]
6,Full Stack Developer,senior full stack developer \- 1800026h cwt looking senior full stack developer proven back-end skill well strong front-end skill role ’ use cutting-edge technology help develop next generation business travel solution million user worldwide participate lead architecture review technology standard definition lead effort find implement support new technology framework standard experiment implement propose new process technology develop back-end system designed scale analyze business software requirement develop back-end software test learn new technology broaden tech stack provide tier 3 production support handle live production issue participate develop agile software development process qualification b.sc degree computer science engineering relevant field equivalent industry experience minimum 2 year experience developing following nodejs java experience nosql solution mongodb elasticsearch redis experience react/angular knowledge single-page application spa development advantage experience javascript cs html responsive ui & cross browser advantage experienced developing rich large-scale web application advantage experience developing robust http apis back-end service passion technology building product team player excellent interpersonal skill self-motivated independent learner eligible candidate must valid passport able travel israel 6 week training shortly hired primary location us-il-chicago work home employment type standard job family information technology scope global travel yes 15 time shift day job organization p & t_hotel product experience level 3 5 year job posting may 9 2018 equal opportunity employer/affirmative action employer organization discriminate employment practice due applicant ’ race color religion sex national origin veteran status disability status sexual orientation gender identity federal state local protected class,senior stack developer cwt look senior stack developer prove end skill strong end skill role use cutting edge technology help develop generation business travel solution million user worldwide participate lead architecture review technology standard definition lead effort find implement support new technology framework standard experiment implement propose new process technology develop end system design scale analyze business software requirement develop end software test learn new technology broaden tech stack provide tier production support handle live production issue participate develop agile software development process qualification degree computer science engineering relevant field equivalent industry experience minimum year experience develop follow nodejs java experience nosql solution mongodb elasticsearch redis experience react angular knowledge single page application spa development advantage experience javascript cs html responsive ui cross browser advantage experience develop rich large scale web application advantage experience develop robust http apis end service passion technology building product team player excellent interpersonal skill self motivate independent learner eligible candidate valid passport able travel israel week training shortly hire primary location il chicago work home employment type standard job family information technology scope global travel yes time shift day job organization p product experience level year job posting equal opportunity employer affirmative action employer organization discriminate employment practice applicant race color religion sex national origin veteran status disability status sexual orientation gender identity federal state local protect class,[]
7,JavaScript Developer,"Job Description:

ReactJS + NodeJs, Azure Functions, and GraphQL capability

Strong hands on experience on javascript frameworks like reactjs
Having hands on experience on nodejs
Hands on experience on Azure function and integrations
Strong hands on experience on HTML5/CSS3/Javascript
Excellent written and verbal communication.
Knowledge of REST as well as GRAPHQL
Experience Range:

3 - 8 years

Educational Qualifications:

Any graduation, and Any PG and Any Doctorate

Job Responsibilities:

Implementing visual components & building rich UI for complex internal and external systems.
Taking ownership of modules, and building the foundation of new systems which are inline with improved quality, process & productivity
Have a passion for quality and writing clean, solid, readable code that scales and performs well.

Skills Required :

ReactJS, NodeJS, Azure Functions, GraphQL,

Job Code : #KL-DP3PZB64",job description reactjs nodejs azure functions graphql capability strong hand experience javascript framework like reactjs have hand experience nodejs hands experience azure function integration strong hand experience javascript excellent write verbal communication knowledge rest graphql experience range year educational qualifications graduation pg doctorate job responsibilities implement visual component build rich ui complex internal external system take ownership module build foundation new system inline improved quality process productivity passion quality write clean solid readable code scale perform skills require reactjs nodejs azure functions graphql job code kl,"['graphql', 'graphql', 'graphql api development', 'azure']"
8,DevOps Engineer,"Main Responsibilities and Deliverables:
Manage/support the rollout, scalability and execution of the automation as it is consumed by the various teams
Ensure automation services scales to handle rapid growth
Using the automations, establish the ability to measure and optimize system health and performance.
On an ongoing basis; configure, tune and troubleshoot automations to achieve optimal application performance and stability
Strong scripting experience with; Bash, Ruby, Python, Java.
Solid experience working with commercial grade automated deployment & configuration mgmt. tools such as; Puppet, Chef, Cloudify, CFEngine. (Puppet skills strongly coveted.)
Strong “hands-on” experience with open source and provisioning tools such as; Cobbler, Foreman, PHP, and Linux or other likewise open source systems, tools /utilities.
Strong senior level Linux & Windows OS experience & troubleshooting skills
Experience with application debugging, performance, scalability & capacity planning expertise
Manage full system lifecycle of automations including configuration and code deployment in user acceptance test and production environments
Improve automated product performance health checks and “self-healing” capabilities in complex highly available Cloud environments.
Participates and assists to drive the automation tools roadmap to increase availability, performance and reduce support demands.
Drive the adoption of Infrastructure as Code in a DevOps oriented organization
Partner with R&D teams to engineer resilient, supportable and scalable products
Architect solutions to leverage the best of Cloud infrastructure
Experience with tools and software such as Urban Code, Hadoop, Tomcat, Mule, OpenAM and Apache
Experience with F5 load balancers, networking theory and protocols (TCP/IP, HTTP, NTP, DNS) and hardware components.",main responsibilities deliverable manage support rollout scalability execution automation consume team ensure automation service scale handle rapid growth automation establish ability measure optimize system health performance ongoing basis configure tune troubleshoot automation achieve optimal application performance stability strong scripting experience bash ruby python java solid experience work commercial grade automate deployment configuration mgmt tool puppet chef cloudify cfengine puppet skill strongly coveted strong hand experience open source provisioning tool cobbler foreman php linux likewise open source system tool strong senior level linux windows os experience troubleshooting skill experience application debugging performance scalability capacity planning expertise manage system lifecycle automation include configuration code deployment user acceptance test production environment improve automate product performance health check self heal capability complex highly available cloud environment participate assist drive automation tool roadmap increase availability performance reduce support demand drive adoption infrastructure code devops orient organization partner team engineer resilient supportable scalable product architect solution leverage good cloud infrastructure experience tool software urban code hadoop tomcat mule openam apache experience load balancer network theory protocol tcp ip http ntp dns hardware component,"['devsecop automation', 'automation', 'cloud automation', 'network configuration automation', 'build automation']"
9,Software Engineer,"Overview


Based in Silicon Valley, Tintri is a wholly owned subsidiary of DataDirect Networks (DDN.com), the data-at-scale powerhouse and world’s largest privately held storage company. Tintri solutions serve the needs of enterprise data centres with intelligent infrastructure. Our product portfolio includes advanced technologies from Tintri (acquired September 2018), Nexenta (acquired May 2019), and IntelliFlash (acquired from Western Digital November 2019). This portfolio offers a fresh choice and a new experience to elevate your user experiences through automation, analytic insight, and tight integration with application workflows for your enterprise applications, including mission-critical databases and business applications, virtualization, and flexible software defined solutions. Learn more about the Tintri portfolio of solutions at https://www.tintri.com/products

Tintri is looking for motivated and passionate individuals that are self-motivated in their work and careers but we are valuing and thriving in an environment where collaboration and teamwork are at best. We are all together on a quest to provide game changing storage solutions.

Job Description


Job Location: Pune

RED Senior Software Engineer – REST API Dev

Job Description

Responsibilities:

We are looking for a Senior Software Engineer for our RED Tintri Storage engineering team who will design, build and deliver the configuration and deployment tools of DDN RED software storage product:
Participate in the definition and implementation of the RED REST API allowing to configure, deploy and manage the RED solution on premises and on cloud.
Participate in the system tools definition and implementation providing interaction with the storage deployments to perform analytics and provide value-added services to customers and users.
Development competencies:
Knowledge of REST API
Strong experience in developing and debugging C/C++ for Linux/Unix
Experience in developing with Python, Go
Experiences with Git, Gerrit and Jenkins
Very good written/verbal communication skills in English
The ideal candidate has knowledge of and experience in several of the following subjects:
Knowledge of configuration and deployment large systems on cloud or on premise
Knowledge of deployment on VMs and containers
Knowledge of development or utilization of control or data plane API for systems' management
Skills and Experience:
Minimum 7 years of software development experience
Excellent written/verbal communication skills
Excellent time management skills, with the ability to independently prioritize, multitask, and work under deadlines in a fast paced environment
Strong interpersonal skills and ability to interact effectively with program staff
Strong team player
Highly effective analytical, problem solving, decision making and influencing capabilities
Storage industry experience desired.
Minimum of BS or MS; computer engineering, computer science or related technical field.",overview base silicon valley tintri wholly own subsidiary datadirect networks data scale powerhouse world large privately hold storage company tintri solution serve need enterprise datum centre intelligent infrastructure product portfolio include advanced technology tintri acquire september nexenta acquire intelliflash acquire western digital november portfolio offer fresh choice new experience elevate user experience automation analytic insight tight integration application workflow enterprise application include mission critical database business application virtualization flexible software define solution learn tintri portfolio solution tintri look motivated passionate individual self motivate work career value thrive environment collaboration teamwork good quest provide game change storage solution job description job location pune red senior software engineer rest api dev job description responsibility look senior software engineer red tintri storage engineering team design build deliver configuration deployment tool ddn red software storage product participate definition implementation red rest api allow configure deploy manage red solution premise cloud participate system tool definition implementation provide interaction storage deployment perform analytic provide value add service customer user development competency knowledge rest api strong experience develop debug c linux unix experience develop python experiences git gerrit jenkins good write verbal communication skill english ideal candidate knowledge experience follow subject knowledge configuration deployment large system cloud premise knowledge deployment vms container knowledge development utilization control data plane api system management skills experience minimum year software development experience excellent write verbal communication skill excellent time management skill ability independently prioritize multitask work deadline fast pace environment strong interpersonal skill ability interact effectively program staff strong team player highly effective analytical problem solving decision making influence capability storage industry experience desire minimum bs ms computer engineering computer science relate technical field,"['red', 'cloud data storage solution', 'datum storage solution', 'cloud storage', 'software define storage sds']"
