Job Title,company_name,location,hiring_status,date,seniority_level,old description,employment_type,industry,cleaned_description,Job Description
Store Business Manager DAVID JONES CHERMSIDE,M.J. Bale,"Brisbane, Queensland, Australia",Be an early applicant,2023-04-13,Not Applicable,sales and business development,Full-time,Government Administration,sale business development,"['mobile app development android', 'organizational development consultant', 'testing test drive development tdd', 'security incident playbook development', 'security incident workflow development']"
Senior Machine Learning Engineer,Redwolf + Rosch,"Adelaide, South Australia, Australia",Be an early applicant,2023-04-25,Mid-Senior level,engineering and information technology,Part-time,Internet Publishing,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Senior Data Scientist,Bupa,"Melbourne, Victoria, Australia",Be an early applicant,2023-04-29,Entry level,engineering and information technology,Full-time,"Technology, Information and Internet",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Solution Architect ,"
            Xybion Digital
          ","
            Chennai, Tamil Nadu, India
          ","
         Be an early applicant
      ",2023-01-26,"
            Mid-Senior level
          ",engineering and information technology ,"
          Full-time
        ","
          IT Services and IT Consulting, Software Development, and Computer Networking Products
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Lead Data Scientist ,"
            Spinny
          ","
            Gurugram, Haryana, India
          ","
         Actively Hiring
      ",2023-02-24,"
            Mid-Senior level
          ",information technology ,"
          Full-time
        ","
          Advertising Services
          ",information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Calling All Data Scientists Data Analysts,Endeavour Group,"Sydney, New South Wales, Australia",Actively Hiring,2023-03-28,Mid-Senior level,engineering and information technology,Part-time,Internet Publishing,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Blockchain Engineer,Turing,India,Actively Hiring,2023-03-31,Mid-Senior level,engineering and information technology,Full-time,Financial Services,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Senior Software Engineer FullStack React PHP Node AWS ,"
            Squiz
          ","
            Brisbane, Queensland, Australia
          ","
         Actively Hiring
      ",2023-02-10,"
            Mid-Senior level
          ",information technology ,"
          Full-time
        ","
          IT Services and IT Consulting
          ",information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
 ,"
            Highpower International Inc.
          ","
            Shenzhen, Guangdong, China
          ",Actively Hiring,2023-03-01,"
            Mid-Senior level
          ",information technology ,"
        
          Employment type
        
        
          Full-time
        
      ","
          Software Development
          ",information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Full Stack Front End Developer,Digantara,"Bengaluru, Karnataka, India",Actively Hiring,2023-02-06,Entry level,engineering,Full-time,Defense and Space Manufacturing,engineering,"['microwave engineering', 'social engineering testing', 'malware analysis reverse engineering', 'civil engineering technician', 'feature engineering']"
Executive Assistant,Sony Music Publishing,"New York, United States",Actively Hiring,2023-04-06,Mid-Senior level,administrative,Full-time,"IT Services and IT Consulting, Venture Capital and Private Equity Principals, and Financial Services",administrative,[]
Project Manager ,"
            JD Ross Energy
          ","
            New York City Metropolitan Area
          ","
         Actively Hiring
      ",2023-02-27,"
            Mid-Senior level
          ",engineering and project management ,"
          Full-time
        ","
          Renewable Energy Semiconductor Manufacturing
          ",engineering project management,"['project management', 'project management tool', 'project management', 'big datum project management', 'stakeholder management big datum project']"
Frontend Developer,99Yellow,"Bengaluru North, Karnataka, India","
         Actively Hiring
      ",2022-09-15,Associate,engineering and information technology,Full-time,Human Resources Services,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
HR Generalist,National Grid Renewables,"Bloomington, MN",Be an early applicant,2023-04-10,Mid-Senior level,human resources,Full-time,Metal Treatments,human resource,"['human resource coordinator', 'human resource manager', 'human resource management', 'ai human robot interaction', 'datum analysis resource allocation']"
Junior Project Manager Full time Remote ,"
            HireMatch
          ","
            Indianapolis, IN
          ","
         Actively Hiring
      ",2023-02-22,"
            Mid-Senior level
          ",project management and information technology ,"
          Full-time
        ","
          Construction
          ",project management information technology,"['stakeholder management big datum project', 'big datum project management', 'project management', 'project management tool', 'project management']"
Senior Marketing Manager ,"
            JW Marriott
          ","
            Pune, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-01,"
            Mid-Senior level
          ",marketing ,"
          Full-time
        ","
          Hotels and Motels
          ",market,"['market millennial', 'market client', 'market segmentation', 'market segmentation target', 'market researcher']"
Sr Decision Scientist,ZipRecruiter,"Palo Alto, CA",Be an early applicant,2023-04-15,Not Applicable,engineering and information technology,Full-time,Software Development,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Junior Software Developer,BTS,"Portsmouth, England, United Kingdom",Be an early applicant,2023-03-14,Entry level,engineering and information technology,Full-time,Design Services,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Application developer Full Stack,"Donato Technologies, Inc.","Phoenix, AZ",Be an early applicant,2022-11-10,Mid-Senior level,engineering and information technology,Contract,IT Services and IT Consulting,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
HR Manager ,"
            GM Infotech
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-01-18,"
            Mid-Senior level
          ",human resources ,"
          Contract
        ","
          IT Services and IT Consulting
          ",human resource,"['human resource coordinator', 'human resource manager', 'human resource management', 'ai human robot interaction', 'datum analysis resource allocation']"
Senior Data Scientist,Recruiting from Scratch,"Oakland, CA",Be an early applicant,2023-02-28,Mid-Senior level,engineering and information technology,Full-time,Staffing and Recruiting,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Technical Program Manager Editor,Canva,"Sydney, New South Wales, Australia",Actively Hiring,2023-04-13,Mid-Senior level,writing editing,Full-time,"Online Audio and Video Media, Book and Periodical Publishing, and Broadcast Media Production and Distribution",write editing,"['audio editing', 'video editing', 'write simple vba code automation', 'report write', 'write communication']"
Software Engineer Java Node js,ThinkJS,"Bengaluru, Karnataka, India",Be an early applicant,2023-02-07,Entry level,engineering and information technology,Full-time,"Software Development, Technology, Information and Internet, and Technology, Information and Media",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Lead Legal Counsel,Tide,"Hyderabad, Telangana, India",Actively Hiring,2023-04-21,Mid-Senior level,legal,Contract,Security and Investigations,legal,"['security incident response team sirt incident recovery legal compliance', 'security incident response team sirt legal compliance', 'security incident response team sirt incident recovery recovery legal compliance', 'security incident response team sirt incident recovery recovery legal regulatory compliance', 'security incident legal regulatory compliance']"
Associate Sr Content writer,Quantzig,"Bengaluru, Karnataka, India",Actively Hiring,2023-03-27,Associate,writing editing,Contract,Research Services,write editing,"['audio editing', 'video editing', 'write simple vba code automation', 'report write', 'write communication']"
Site Reliability Engineer,IBM,"Pune, Maharashtra, India",Actively Hiring,2023-04-17,Not Applicable,information technology,Full-time,Computer Hardware Manufacturing,information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Project Manager ,"
            Orci
          ","
            Los Angeles, CA
          ",Actively Hiring,2023-02-14,"
            Associate
          ",project management and information technology ,"
          Full-time
        ","
          Advertising Services
          ",project management information technology,"['stakeholder management big datum project', 'big datum project management', 'project management', 'project management tool', 'project management']"
Engineering Manager Blockchain India ,BitGo,"Bengaluru, Karnataka, India",Actively Hiring,2023-04-10,Mid-Senior level,engineering and information technology,Full-time,Financial Services,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Content Writer ,"
            MadHawks
          ","
            Gurugram, Haryana, India
          ","
         Actively Hiring
      ",2023-02-28,"
            Entry level
          ",marketing public relations and writing editing ,"
          Full-time
        ","
          Advertising Services
          ",market public relation write editing,"['public relation specialist', 'security incident response team sirt incident recovery recovery public relation', 'security incident response team sirt incident public relation', 'public relation manager', 'security incident response team sirt incident recovery public relation']"
Technical Architect Neha Bluebrich Bangalore ,"
            CodersBrain
          ","
            Bengaluru North, Karnataka, India
          ","
         Be an early applicant
      ",2023-03-28,"
            Mid-Senior level
          ",engineering and information technology ,"
          Full-time
        ","
          IT Services and IT Consulting
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Senior Data Scientist ,"
            Zupee
          ","
            Gurugram, Haryana, India
          ","
         Actively Hiring
      ",2023-03-07,"
            Mid-Senior level
          ",engineering and information technology ,"
          Full-time
        ","
          Entertainment Providers
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Executive Assistant Octopus Real Estate ,"
            Octopus
          ","
            London, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-15,"
            Mid-Senior level
          ",administrative ,"
          Full-time
        ","
          Financial Services
          ",administrative,[]
TypeScript Developer,AutogenAI,"London, England, United Kingdom",Actively Hiring,2023-04-17,Mid-Senior level,information technology,Full-time,"Technology, Information and Internet",information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Devops Engineer,IBM,"Bengaluru East, Karnataka, India",Actively Hiring,2023-04-07,Not Applicable,information technology,Full-time,Computer Hardware Manufacturing,information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Graphic Designer,"YinzCam, Inc.","Pittsburgh, PA","Actively Hiring
           +5�benefits",2023-03-01,Not Applicable,design art creative and information technology,Full-time,"Transportation, Logistics, Supply Chain and Storage and Internet Publishing",design art creative information technology,"['creative director', 'art therapist', 'art director', 'art curator', 'pcb design']"
Product Manager,"Ellsworth Adjusting Services, Inc.","London, England, United Kingdom",Be an early applicant,2023-04-06,Mid-Senior level,finance product management and information technology,Full-time,Financial Services,finance product management information technology,"['sentiment analysis finance', 'decentralize finance defi', 'big datum finance', 'product manager', 'ai e commerce product recommendation']"
Trading Analytics Manager Data Scientist ,Swish Analytics,"San Francisco, CA",Be an early applicant,2023-02-12,Mid-Senior level,research analyst and information technology,Full-time,"Technology, Information and Internet",research analyst information technology,"['equity research analyst', 'market research analyst', 'clinical research coordinator', 'research assistant', 'big datum artificial intelligence research']"
Front End Web Developer ,"
            Neota
          ","
            Sydney, New South Wales, Australia
          ",Be an early applicant,2023-02-12,"
            Not Applicable
          ",engineering ,"
          Full-time
        ","
          Technology, Information and Internet
          ",engineer,"['environmental engineer', 'technical support engineer', 'architectural engineer', 'biomedical engineer', 'petroleum engineer']"
AWS Architect ,"
            cFocus Software Incorporated
          ","
            United States
          ",Be an early applicant,2023-03-16,"
            Not Applicable
          ",engineering and information technology ,"
          Full-time
        ","
          Technology, Information and Internet
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Lead Data Scientist,Diverse Lynx,"Thousand Oaks, CA",Be an early applicant,2023-03-08,Mid-Senior level,engineering and information technology,Full-time,Software Development,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Senior Product Manager,Seedrs,"London, England, United Kingdom",Be an early applicant,2023-02-02,Mid-Senior level,product management and marketing,Full-time,Internet Publishing,product management marketing,"['marketing budget management', 'product pricing analysis', 'product manager', 'ai e commerce product recommendation', 'email marketing platform']"
Graphic Designer,Laricy,"Chicago, IL",Actively Hiring,2023-01-31,Entry level,design art creative and information technology,Full-time,Furniture and Home Furnishings Manufacturing,design art creative information technology,"['creative director', 'art therapist', 'art director', 'art curator', 'pcb design']"
Content Writer,FYERS,"Bangalore Urban, Karnataka, India",Actively Hiring,2023-01-23,Entry level,marketing public relations and writing editing,Full-time,Financial Services,market public relation write editing,"['public relation specialist', 'security incident response team sirt incident recovery recovery public relation', 'security incident response team sirt incident public relation', 'public relation manager', 'security incident response team sirt incident recovery public relation']"
Full stack developer Radhika,CodersBrain,"Bengaluru North, Karnataka, India",Be an early applicant,2023-03-19,Associate,engineering and information technology,Full-time,IT Services and IT Consulting,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Graphic Designer,The Lee Group,"Virginia Beach, VA","Actively Hiring
           +4�benefits",2023-04-17,Entry level,design art creative and information technology,Full-time,Furniture and Home Furnishings Manufacturing,design art creative information technology,"['creative director', 'art therapist', 'art director', 'art curator', 'pcb design']"
Blog Content Editor Remote,Designit,"Dublin, County Dublin, Ireland",Actively Hiring,2023-03-14,Entry level,marketing public relations and writing editing,Full-time,"Technology, Information and Internet",market public relation write editing,"['public relation specialist', 'security incident response team sirt incident recovery recovery public relation', 'security incident response team sirt incident public relation', 'public relation manager', 'security incident response team sirt incident recovery public relation']"
Principal AI Scientist Multimodal Translational Medicine,Roche,"South San Francisco, CA",Actively Hiring,2023-03-31,Associate,information technology,Full-time,"Medical Equipment Manufacturing, Biotechnology Research, and Pharmaceutical Manufacturing",information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
